Actual Value,Predicted Value,Prediction Probability
0,0,0.030045959581695095
0,0,0.023519790673956504
1,1,0.9596847808881508
0,0,0.0747642610029527
0,0,0.0214888904134763
1,1,0.9854930090386447
0,0,0.03476199325248942
0,0,0.05228700220705221
0,0,0.00011750993828015354
0,0,0.027330396317337358
0,0,0.03391963983855805
1,1,0.9917207699650059
1,1,0.9546233496755943
0,0,0.020126967973886387
0,0,0.02931678871713162
0,0,0.0351835819731764
0,0,0.05996234940190143
1,1,0.9127933060954759
0,0,0.00019894531113227878
1,1,0.9576008943310557
0,0,0.03576054544309063
0,0,0.07386961822672396
1,1,0.9428108041435442
1,1,0.9444520919546364
0,0,4.236213997342665e-05
0,0,0.03394267860244492
0,0,0.06412210837916364
0,0,0.05030677492171536
0,0,0.012725377974285423
0,0,0.019539579802828895
0,0,0.03346101598391525
0,0,0.03753593312080489
0,0,0.020918729686871786
0,0,0.031312776108289746
0,0,0.01570285504805359
0,0,0.03647148330926036
1,1,0.9631072509702766
0,0,0.034427623310075664
0,0,0.026196364706672717
0,0,0.046980077526512266
1,1,0.9592968608705011
0,0,0.02464673433975235
1,1,0.9329005724425388
0,0,0.00010586270216394581
0,0,0.07807910838967103
0,0,0.06243217381584134
0,0,0.0516824835460938
0,0,0.028382362218918048
0,0,0.026640599302264797
0,0,0.02991561210621712
1,1,0.9663277215506131
1,1,0.9866844748700723
1,1,0.9463998337649815
0,0,0.04802535593956863
1,1,0.9521359464956655
1,1,0.9555644878042437
1,1,0.9697451065069219
0,0,0.02279871405013917
0,0,0.009024694407269865
0,0,0.02923986603152894
1,1,0.9488100650803086
0,0,0.016657304266550363
0,0,0.0514115863024526
0,0,0.01613372870736769
0,0,0.026690107571320214
0,0,0.03714031368186458
0,0,3.587159200467349e-05
1,1,0.9237061405739959
0,0,0.061528962334162995
1,1,0.9421237012820681
1,1,0.9534014015565688
0,0,0.022543048201359172
0,0,0.026738490571962606
0,0,0.00017134179618343576
1,1,0.9912417195227032
0,0,0.05318266685383319
0,0,0.025046211956801456
0,0,3.518877599750959e-05
0,0,0.027288641414975136
0,0,0.02172032716943546
0,0,0.048366769635167776
0,0,0.03189675279747444
1,1,0.9446806518816615
0,0,0.00016457718429934454
0,0,0.02895255168013237
1,1,0.9165135152277295
0,0,0.02392119313831644
0,0,0.034244684607977506
0,0,0.01347515874315713
0,0,6.498331821284943e-05
1,1,0.9429989509243886
1,1,0.9540743332004353
0,0,0.05074808121652583
0,0,0.05777992731090301
0,0,0.026153201767951887
0,0,0.017953278599475424
1,1,0.9767748865402458
1,1,0.9488145132828877
1,1,0.9208248622592726
0,0,0.059532815576374326
0,0,0.03227457831125483
0,0,0.05001129207433176
1,1,0.9611216842813961
1,1,0.9450560269635278
0,0,0.04204554410769617
0,0,0.03158091760514529
0,0,0.0364418890496576
0,0,0.029132105892548207
1,1,0.9388023085798597
0,0,0.01658664766830187
0,0,0.02210838770224127
0,0,0.06794765560097885
0,0,6.458968979748828e-05
1,1,0.9546481315573294
1,1,0.9240415925846936
0,0,0.014462202408344393
0,0,0.035149633051904584
0,0,0.05794736435922895
0,0,0.021560918562900856
0,0,0.02913228873158885
0,0,7.079125774377497e-05
0,0,0.017741692643851836
0,0,0.024689528679893772
0,0,0.05027908290164997
0,0,0.03885748795614587
1,0,9.298122091296945e-05
0,0,0.017451283880237842
0,0,0.03245127449830321
0,0,0.023846087834432875
0,0,0.04197369287158602
0,0,0.059558467397261346
1,1,0.9268563089639816
0,0,0.059157057988539895
0,0,0.05698319421453963
0,0,0.053744467948466414
0,0,0.016135130500348805
1,1,0.9649820563430701
0,0,0.022293605315092502
0,0,0.0353858094471228
0,0,0.04852902123385705
1,1,0.9590251093036865
0,0,0.017558024461036235
0,0,0.029628564994694042
1,1,0.9384408148596374
0,0,0.02108293995555691
1,1,0.9278704957731579
0,0,9.24315731893035e-05
0,0,0.024243191924143693
0,0,0.009820690844040268
0,0,0.01639285329496076
0,0,0.040909243167486474
1,1,0.9843876842572679
1,1,0.9480131069875527
0,0,0.02807352580853374
0,0,0.03499504283302733
0,0,0.04407217074003064
1,1,0.9891342193380236
0,0,0.032755642301027225
0,0,0.05118537504710524
0,0,0.02965279422867779
0,0,0.06813133247836098
1,1,0.9305778858325876
1,1,0.9434283734350033
0,0,0.028126809802782135
0,0,0.0185136608307719
0,0,0.04038044264574548
0,0,7.842415705003821e-05
0,0,0.02444820289268088
0,0,0.05606969137163722
0,0,0.047726424456477234
0,0,0.016133937196825137
0,0,0.06156056608600193
1,1,0.9706852254893418
1,1,0.9460292239904078
0,0,0.04252139875148423
0,0,0.07602815206008975
0,0,0.03558031889692939
0,0,0.01085155614034152
0,0,0.03321781138194289
0,0,0.031130749942513476
0,0,0.008186482370852743
0,0,0.029776085978447234
1,1,0.9442948175352935
1,1,0.9431445392399387
1,1,0.9478339335652183
0,0,0.021755027649720603
0,0,0.04051859542220661
1,1,0.9636010415493426
1,1,0.9624008879663034
0,0,0.040184222661854736
1,1,0.9137991399510148
0,0,0.037130035728226506
1,1,0.9681390192222367
0,0,0.030152743454864756
0,0,0.04108985496787915
1,1,0.9523343398595746
0,0,0.028123398972738273
1,1,0.928155007417899
0,0,0.012027923683269545
0,0,0.027561519802230504
0,0,0.00013902794513429993
1,1,0.9712330902542822
0,0,5.625523037685986e-05
0,0,0.0397016617756033
0,0,5.0544868454590254e-05
1,1,0.9421716690756874
0,0,0.029697371103926333
0,0,0.02795884245061578
0,0,0.021518651226994236
0,0,0.02600956388220089
1,1,0.9365306727252828
0,0,0.016213441046780384
1,1,0.9734820331449491
1,1,0.9670507280117089
0,0,0.015317969716754677
0,0,5.270304567404935e-05
1,1,0.9465300731653457
0,0,0.02214110121088898
0,0,0.030874548530055997
0,0,0.05889207609913063
0,0,0.08278490747094525
0,0,0.06933491650130433
0,0,0.04288149670843188
0,0,0.03273134153758274
0,0,0.032878699995403916
0,0,0.027546552518827986
0,0,0.02520734984230965
1,1,0.9783673926710742
0,0,0.039692262370989995
0,0,0.03153440080935612
0,0,0.016921658926248574
1,1,0.9398083522655192
1,1,0.942135394106488
0,0,0.05449316092655095
0,0,0.021201189832980687
0,0,0.019189419431740115
0,0,0.017077467802024817
0,0,0.02182762991559929
0,0,0.05230990993992056
0,0,0.010045238356948517
1,1,0.9653100024618885
1,1,0.9450712480232384
0,0,0.03945694218288149
1,1,0.9711955190860851
0,0,0.027904177024304498
0,0,0.017110465737250363
1,1,0.9468486543041447
0,0,0.019249592158613688
0,0,0.04198867151419798
0,0,0.04450298428447646
1,1,0.9149822645649035
0,0,0.04258297505411421
1,1,0.9575261398030147
0,0,0.027341140246850082
0,0,0.03341543137031319
0,0,0.041778060448132814
0,0,0.04211756484321787
0,0,0.041249104935889076
0,0,0.011792709150659511
0,0,0.037135362948883914
0,0,0.020930971683173132
0,0,0.024237919273835954
0,0,0.027453032070114125
0,0,0.03572355602207774
1,1,0.9254010273083881
0,0,0.01845691099139905
0,0,9.579743678059489e-05
0,0,0.031125366566682862
0,0,0.06560387325045587
0,0,0.02064423330343151
0,0,0.01834051245424358
1,1,0.9403156560030085
0,0,0.019450377799038018
0,0,0.07342524834888547
0,0,0.05119910239286422
0,0,0.04905550003584144
0,0,0.0447899570919495
1,1,0.952630324483666
0,0,0.03756750335702331
0,0,0.021206031772987067
0,0,0.050646312653769725
0,0,0.04513462416549217
0,0,0.014950816413221154
0,0,0.05673156432489407
0,0,0.011356584165188546
1,1,0.9700732707858899
0,0,0.023474759858739726
0,0,0.04087206534606496
1,1,0.9779910979935976
0,0,0.05992033594909266
1,1,0.9735179709743014
0,0,2.4964913711295773e-05
0,0,0.052018373633105755
0,0,0.04596483170646501
0,0,0.03525732791112604
1,1,0.9609613952116072
1,1,0.9605904273936166
